leaf_node_id,phiusiil_training_sample_count,phiusiil_training_phishing_count,phiusiil_training_legitimate_count,training_phishing_proportion,predicted_class,external_benign_count,external_phishing_count,external_benign_false_positive_count,decision_path
46,698,39,659,0.055873925501432664,1,15,5,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits <= 4.500000 AND number_of_hyphens <= 0.500000 AND number_of_digits > 2.500000 AND digit_ratio <= 0.170290
44,220,14,206,0.06363636363636363,1,12,6,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits <= 4.500000 AND number_of_hyphens <= 0.500000 AND number_of_digits <= 2.500000 AND domain_length > 22.500000
43,1938,25,1913,0.012899896800825593,1,69,2,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits <= 4.500000 AND number_of_hyphens <= 0.500000 AND number_of_digits <= 2.500000 AND domain_length <= 22.500000
38,2,2,0,1.0,0,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens > 0.500000 AND domain_length > 24.500000 AND suspicious_keyword_count > 0.500000 AND special_character_count > 7.500000
37,9,4,5,0.4444444444444444,1,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens > 0.500000 AND domain_length > 24.500000 AND suspicious_keyword_count > 0.500000 AND special_character_count <= 7.500000
51,17,2,15,0.11764705882352941,1,2,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits <= 4.500000 AND number_of_hyphens > 0.500000 AND number_of_letters <= 17.500000 AND url_length > 24.500000
20,5245,29,5216,0.005529075309818875,1,122,11,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens <= 0.500000 AND domain_length > 23.500000 AND number_of_subdomains <= 1.500000 AND url_length > 33.500000
19,6602,24,6578,0.0036352620418055137,1,141,16,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens <= 0.500000 AND domain_length > 23.500000 AND number_of_subdomains <= 1.500000 AND url_length <= 33.500000
31,2741,22,2719,0.008026267785479753,1,197,9,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens > 0.500000 AND domain_length <= 24.500000 AND url_length > 26.500000 AND letter_ratio > 0.783482
34,1081,26,1055,0.024051803885291396,1,88,10,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens > 0.500000 AND domain_length > 24.500000 AND suspicious_keyword_count <= 0.500000 AND number_of_hyphens <= 1.500000
35,257,12,245,0.04669260700389105,1,28,13,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens > 0.500000 AND domain_length > 24.500000 AND suspicious_keyword_count <= 0.500000 AND number_of_hyphens > 1.500000
22,2297,30,2267,0.013060513713539399,1,109,12,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens <= 0.500000 AND domain_length > 23.500000 AND number_of_subdomains > 1.500000 AND url_length <= 35.500000
23,330,11,319,0.03333333333333333,1,10,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens <= 0.500000 AND domain_length > 23.500000 AND number_of_subdomains > 1.500000 AND url_length > 35.500000
27,226,0,226,0.0,1,36,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens > 0.500000 AND domain_length <= 24.500000 AND url_length <= 26.500000 AND letter_ratio <= 0.717143
28,2177,12,2165,0.005512172714745062,1,266,1,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens > 0.500000 AND domain_length <= 24.500000 AND url_length <= 26.500000 AND letter_ratio > 0.717143
30,1363,25,1338,0.018341892883345562,1,146,16,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio <= 0.013889 AND number_of_hyphens > 0.500000 AND domain_length <= 24.500000 AND url_length > 26.500000 AND letter_ratio <= 0.783482
76,2,2,0,1.0,0,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio <= 0.795163 AND letter_ratio > 0.725330 AND number_of_subdomains > 2.500000 AND number_of_hyphens <= 0.500000 AND number_of_digits > 2.500000
75,11,2,9,0.18181818181818182,1,1,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio <= 0.795163 AND letter_ratio > 0.725330 AND number_of_subdomains > 2.500000 AND number_of_hyphens <= 0.500000 AND number_of_digits <= 2.500000
71,14,3,11,0.21428571428571427,1,0,3,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio <= 0.795163 AND letter_ratio > 0.725330 AND number_of_subdomains <= 2.500000 AND number_of_digits > 0.500000 AND special_character_count <= 5.500000
69,2,1,1,0.5,0,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio <= 0.795163 AND letter_ratio > 0.725330 AND number_of_subdomains <= 2.500000 AND number_of_digits <= 0.500000 AND suspicious_keyword_count > 0.500000
61,10,10,0,1.0,0,0,3,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits > 4.500000 AND number_of_digits > 8.500000
68,48,6,42,0.125,1,8,4,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio <= 0.795163 AND letter_ratio > 0.725330 AND number_of_subdomains <= 2.500000 AND number_of_digits <= 0.500000 AND suspicious_keyword_count <= 0.500000
50,60,1,59,0.016666666666666666,1,9,1,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits <= 4.500000 AND number_of_hyphens > 0.500000 AND number_of_letters <= 17.500000 AND url_length <= 24.500000
57,2,0,2,0.0,1,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits > 4.500000 AND number_of_digits <= 8.500000 AND letter_ratio <= 0.449167
47,77,15,62,0.19480519480519481,1,2,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits <= 4.500000 AND number_of_hyphens <= 0.500000 AND number_of_digits > 2.500000 AND digit_ratio > 0.170290
53,83,22,61,0.26506024096385544,1,31,17,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits <= 4.500000 AND number_of_hyphens > 0.500000 AND number_of_letters > 17.500000 AND number_of_hyphens <= 1.500000
88,4,1,3,0.25,1,0,2,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio > 0.795163 AND special_character_count <= 5.500000 AND digit_ratio <= 0.025978 AND letter_ratio > 0.870108 AND has_suspicious_keyword > 0.500000
91,10,3,7,0.3,1,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio > 0.795163 AND special_character_count <= 5.500000 AND digit_ratio > 0.025978 AND domain_length <= 32.500000 AND digit_ratio <= 0.053343
92,2,0,2,0.0,1,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio > 0.795163 AND special_character_count <= 5.500000 AND digit_ratio > 0.025978 AND domain_length <= 32.500000 AND digit_ratio > 0.053343
87,1315,17,1298,0.012927756653992395,1,24,5,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio > 0.795163 AND special_character_count <= 5.500000 AND digit_ratio <= 0.025978 AND letter_ratio > 0.870108 AND has_suspicious_keyword <= 0.500000
84,1579,11,1568,0.006966434452184927,1,48,7,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio > 0.795163 AND special_character_count <= 5.500000 AND digit_ratio <= 0.025978 AND letter_ratio <= 0.870108 AND suspicious_keyword_count <= 0.500000
85,6,0,6,0.0,1,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio > 0.795163 AND special_character_count <= 5.500000 AND digit_ratio <= 0.025978 AND letter_ratio <= 0.870108 AND suspicious_keyword_count > 0.500000
110,10,2,8,0.2,1,1,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count <= 5.500000 AND url_length > 48.500000 AND letter_ratio <= 0.918435 AND number_of_letters <= 48.000000 AND letter_ratio <= 0.898980
106,22,0,22,0.0,1,1,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count <= 5.500000 AND url_length <= 48.500000
98,7,5,2,0.7142857142857143,0,0,2,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio > 0.795163 AND special_character_count > 5.500000 AND number_of_digits <= 0.500000 AND number_of_letters <= 35.500000 AND has_suspicious_keyword > 0.500000
100,241,58,183,0.24066390041493776,1,18,3,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio > 0.795163 AND special_character_count > 5.500000 AND number_of_digits <= 0.500000 AND number_of_letters > 35.500000 AND has_suspicious_keyword <= 0.500000
97,1269,82,1187,0.06461780929866036,1,87,15,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio > 0.795163 AND special_character_count > 5.500000 AND number_of_digits <= 0.500000 AND number_of_letters <= 35.500000 AND has_suspicious_keyword <= 0.500000
111,9,0,9,0.0,1,4,1,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count <= 5.500000 AND url_length > 48.500000 AND letter_ratio <= 0.918435 AND number_of_letters <= 48.000000 AND letter_ratio > 0.898980
114,2,0,2,0.0,1,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count <= 5.500000 AND url_length > 48.500000 AND letter_ratio <= 0.918435 AND number_of_letters > 48.000000 AND letter_ratio > 0.909061
113,1,1,0,1.0,0,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count <= 5.500000 AND url_length > 48.500000 AND letter_ratio <= 0.918435 AND number_of_letters > 48.000000 AND letter_ratio <= 0.909061
124,4,4,0,1.0,0,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count > 5.500000 AND number_of_letters <= 45.500000 AND number_of_letters <= 41.500000 AND has_suspicious_keyword > 0.500000
123,4,0,4,0.0,1,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count > 5.500000 AND number_of_letters <= 45.500000 AND number_of_letters <= 41.500000 AND has_suspicious_keyword <= 0.500000 AND domain_length > 41.500000
122,7,1,6,0.14285714285714285,1,1,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count > 5.500000 AND number_of_letters <= 45.500000 AND number_of_letters <= 41.500000 AND has_suspicious_keyword <= 0.500000 AND domain_length <= 41.500000 AND number_of_hyphens > 2.500000
121,28,12,16,0.42857142857142855,1,2,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count > 5.500000 AND number_of_letters <= 45.500000 AND number_of_letters <= 41.500000 AND has_suspicious_keyword <= 0.500000 AND domain_length <= 41.500000 AND number_of_hyphens <= 2.500000
115,1,1,0,1.0,0,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count <= 5.500000 AND url_length > 48.500000 AND letter_ratio > 0.918435
130,2,0,2,0.0,1,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count > 5.500000 AND number_of_letters <= 45.500000 AND number_of_letters > 41.500000 AND letter_ratio <= 0.881176 AND special_character_count > 9.500000
131,7,7,0,1.0,0,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count > 5.500000 AND number_of_letters <= 45.500000 AND number_of_letters > 41.500000 AND letter_ratio > 0.881176
134,1,0,1,0.0,1,0,0,0,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count > 5.500000 AND number_of_letters > 45.500000 AND number_of_subdomains > 3.500000
