tier,split_type,feature_count,training_accuracy,validation_accuracy,test_accuracy,phishing_precision,phishing_recall,phishing_f1,roc_auc,confusion_matrix,true_phishing_predicted_phishing,true_phishing_predicted_legitimate,true_legitimate_predicted_phishing,true_legitimate_predicted_legitimate,tree_depth,number_of_leaves,training_time_seconds,test_prediction_time_seconds,fixed_tree_params,bootstrap_intervals
D-matched,domain_disjoint,18,0.9941535348394797,0.9974553987955554,0.9970312985948147,0.9961068954140547,0.9969620921938978,0.9965343103277552,0.9988973992758471,"[[15096, 46], [59, 20168]]",15096,46,59,20168,10,147,0.7059298999374732,0.06351690005976707,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'random_state': 42}","{'accuracy': {'observed': 0.9970312985948147, 'ci_lower': 0.9964941050072097, 'ci_upper': 0.9975967655291357}, 'phishing_recall': {'observed': 0.9969620921938978, 'ci_lower': 0.9960926440207528, 'ci_upper': 0.9977739402259194}, 'phishing_f1': {'observed': 0.9965343103277552, 'ci_lower': 0.9958903740831087, 'ci_upper': 0.9971709005405582}}"
E,domain_disjoint,26,0.9950441362680771,0.9979925923831604,0.9968899318612344,0.9980781974817761,0.9946506406022982,0.9963614712887007,0.9982247717438902,"[[15061, 81], [29, 20198]]",15061,81,29,20198,10,80,0.6151574000250548,0.021784800104796886,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'random_state': 42}","{'accuracy': {'observed': 0.9968899318612344, 'ci_lower': 0.9962961915801973, 'ci_upper': 0.9974271254488394}, 'phishing_recall': {'observed': 0.9946506406022982, 'ci_lower': 0.993474372836926, 'ci_upper': 0.9957741393523473}, 'phishing_f1': {'observed': 0.9963614712887007, 'ci_lower': 0.9956875588024436, 'ci_upper': 0.9970846782676673}}"
