feature_name,comparison_type,candidate_name,label_group,scheme_group,compared_rows,exact_match_count,exact_match_percentage,mae,median_absolute_error,pearson_correlation,modal_delta,modal_delta_count,top_delta_distribution
NoOfQMarkInURL,current_mapping,number_of_question_marks,phishing,all,100945,100933,99.9881123384021,0.00011887661597899846,0.0,0.9992994958129425,0.0,100933,0:100933; -1:12
NoOfQMarkInURL,current_mapping,number_of_question_marks,legitimate,all,134850,134850,100.0,0.0,0.0,,0.0,134850,0:134850
NoOfAmpersandInURL,current_mapping,number_of_ampersands,all,all,235795,232623,98.65476367183359,0.04563710002332535,0.0,0.2388372692694959,0.0,232623,0:232623; -1:1041; -2:614; -3:213; 1:211
NoOfAmpersandInURL,current_mapping,number_of_ampersands,phishing,all,100945,97773,96.85769478428847,0.10660260537916687,0.0,0.2368407044423992,0.0,97773,0:97773; -1:1041; -2:614; -3:213; 1:211
NoOfAmpersandInURL,current_mapping,number_of_ampersands,legitimate,all,134850,134850,100.0,0.0,0.0,,0.0,134850,0:134850
NoOfOtherSpecialCharsInURL,current_mapping,special_character_count,all,all,235795,0,0.0,3.934850187663012,4.0,0.9629647904114417,-4.0,189004,-4:189004; -3:40500; -5:2998; -6:955; -7:757
NoOfOtherSpecialCharsInURL,current_mapping,special_character_count,phishing,all,100945,0,0.0,3.8477784932388923,4.0,0.9674766395757898,-4.0,54158,-4:54158; -3:40500; -5:2994; -6:955; -7:757
NoOfOtherSpecialCharsInURL,current_mapping,special_character_count,legitimate,all,134850,0,0.0,4.0000296625880605,4.0,0.9999416037650649,-4.0,134846,-4:134846; -5:4
IsHTTPS,current_mapping,uses_https_text,all,all,235795,235302,99.79092007888208,0.002090799211179202,0.0,0.9938949515840593,0.0,235302,0:235302; 1:493
IsHTTPS,current_mapping,uses_https_text,phishing,all,100945,100452,99.51161523601961,0.004883847639803853,0.0,0.9902757467117677,0.0,100452,0:100452; 1:493
IsHTTPS,current_mapping,uses_https_text,legitimate,all,134850,134850,100.0,0.0,0.0,,0.0,134850,0:134850
URLLength,candidate_definition,A_full_stripped_raw_url,all,all,235795,48644,20.629784346572233,0.7938590724994169,1.0,0.999953373887072,-1.0,187149,-1:187149; 0:48644; -4:1; -35:1
URLLength,candidate_definition,A_full_stripped_raw_url,phishing,all,100945,48644,48.18861756402001,0.5184803605924018,1.0,0.9999656477423668,-1.0,52299,-1:52299; 0:48644; -4:1; -35:1
URLLength,candidate_definition,A_full_stripped_raw_url,legitimate,all,134850,0,0.0,1.0,1.0,1.0,-1.0,134850,-1:134850
URLLength,candidate_definition,A_full_stripped_raw_url,all,http,51749,18148,35.069276700999055,0.6493072329900095,1.0,0.9999423882165054,-1.0,33601,-1:33601; 0:18148
URLLength,candidate_definition,A_full_stripped_raw_url,all,https,184046,30496,16.569770600828054,0.8345033306890669,1.0,0.9999589983864012,-1.0,153548,-1:153548; 0:30496; -4:1; -35:1
NoOfLettersInURL,candidate_definition,A_full_stripped_raw_url,all,all,235795,0,0.0,7.776814605907674,9.0,0.998259659851523,-9.0,135933,-9:135933; -5:43615; -8:30323; -7:10434; -4:9848
NoOfLettersInURL,candidate_definition,A_full_stripped_raw_url,phishing,all,100945,0,0.0,6.142671751944128,5.0,0.9993092001783302,-5.0,43615,-5:43615; -8:30323; -7:10434; -4:9848; -6:5177
NoOfLettersInURL,candidate_definition,A_full_stripped_raw_url,legitimate,all,134850,0,0.0,9.000088987764183,9.0,0.9999941653721215,-9.0,134846,-9:134846; -12:4
LetterRatioInURL,candidate_definition,A_full_stripped_raw_url,all,all,235795,0,0.0,0.26144359019784136,0.2813333333333333,0.5061829025351655,-0.327692307692,8583,-0.327692307692:8583; -0.342:8434; -0.314814814815:8379; -0.356666666667:7966; -0.302428571429:7802
LetterRatioInURL,candidate_definition,A_full_stripped_raw_url,phishing,all,100945,0,0.0,0.1788752930405469,0.1475294117647058,0.6800203486876474,-0.327608695652,1644,-0.327608695652:1644; -0.343727272727:1530; -0.313666666667:1488; -0.3:1409; -0.361904761905:1193
LetterRatioInURL,candidate_definition,A_full_stripped_raw_url,legitimate,all,134850,0,0.0,0.323251945826637,0.31481481481481477,0.9354372502091768,-0.327692307692,8565,-0.327692307692:8565; -0.342:8419; -0.314814814815:8358; -0.356666666667:7947; -0.302428571429:7784
NoOfDegitsInURL,candidate_definition,A_full_stripped_raw_url,all,all,235795,234584,99.4864182870714,0.005161262961470769,0.0,0.9999813548119266,0.0,234584,0:234584; -1:1210; -7:1
NoOfDegitsInURL,candidate_definition,A_full_stripped_raw_url,phishing,all,100945,99734,98.8003368170786,0.012056070137203428,0.0,0.9999808214391085,0.0,99734,0:99734; -1:1210; -7:1
NoOfDegitsInURL,candidate_definition,A_full_stripped_raw_url,legitimate,all,134850,134850,100.0,0.0,0.0,0.9999999999999999,0.0,134850,0:134850
DegitRatioInURL,candidate_definition,A_full_stripped_raw_url,all,all,235795,186813,79.22687079878709,0.0004390733779748912,0.0,0.999628688261295,0.0,186813,0.0:186813; 0.000333333333:1463; -0.000470588235:1110; 0.009740740741:714; -0.000333333333:686
DegitRatioInURL,candidate_definition,A_full_stripped_raw_url,phishing,all,100945,55523,55.0032195750161,0.0009112047976063395,0.0,0.9995482573155932,0.0,55523,0.0:55523; 0.000333333333:1463; -0.000470588235:1110; 0.009740740741:714; -0.000333333333:686
DegitRatioInURL,candidate_definition,A_full_stripped_raw_url,legitimate,all,134850,131290,97.36002966258806,8.564878654221374e-05,0.0,0.9999714538360783,0.0,131290,0.0:131290; 0.003:214; 0.005:179; 0.00152173913:167; 0.002:155
