ccp_alpha,training_accuracy,validation_accuracy,training_f1_phishing,validation_f1_phishing,tree_depth,leaves
0.0,0.9958741275688251,0.9953066244451356,0.9951607057837027,0.9944945608914831,10,72
7.780465509549975e-06,0.9958741275688251,0.9953066244451356,0.9951607057837027,0.9944945608914831,10,70
1.1432849094058432e-05,0.9958741275688251,0.9953066244451356,0.9951607057837027,0.9944945608914831,10,67
1.302324345751893e-05,0.9958680690189996,0.9953066244451356,0.9951534963047186,0.9944945608914831,10,65
1.3591000360407531e-05,0.9958680690189996,0.9953066244451356,0.9951534963047186,0.9944945608914831,10,61
1.5792742207233756e-05,0.9958559519193486,0.9953066244451356,0.9951394909256285,0.9944945608914831,10,58
1.6403296145259478e-05,0.9958498933695231,0.9953066244451356,0.9951322811480711,0.9944945608914831,10,56
2.0354228733013204e-05,0.995837776269872,0.9953066244451356,0.9951181382128265,0.9944945608914831,10,53
2.3768806160894733e-05,0.9958135420705699,0.9953066244451356,0.9950897837657308,0.9944945608914831,10,50
2.4865479974989915e-05,0.9958135420705699,0.9953066244451356,0.9950897837657308,0.9944945608914831,10,47
2.744114126709003e-05,0.9957408394726638,0.9951935310582714,0.9950057189136196,0.9943641426866463,10,42
2.8863933331161853e-05,0.9957408394726638,0.9951935310582714,0.9950057189136196,0.9943641426866463,10,40
3.155377594738957e-05,0.9957347809228383,0.9951935310582714,0.9949985791418017,0.9943641426866463,10,37
3.932135151508011e-05,0.9956923710740597,0.9952218044049874,0.9949488849894502,0.9943971090408779,10,34
4.469760742777042e-05,0.9956863125242342,0.9952218044049874,0.9949418166834799,0.9943971090408779,10,32
6.606221132307273e-05,0.9956620783249321,0.9952218044049874,0.994913544463862,0.9943974805237858,10,29
8.252397698105192e-05,0.9955954342768515,0.9952218044049874,0.9948348501964462,0.9943971090408779,10,26
9.765833854484605e-05,0.9955954342768515,0.9952218044049874,0.9948348501964462,0.9943971090408779,10,24
0.00014840335028916667,0.9955409073284218,0.9951087110181233,0.9947705731053985,0.9942637355349978,9,19
0.00018165407789364147,0.9953652093834819,0.994939070937827,0.9945674172862652,0.9940679370339686,9,16
0.00032072891486237265,0.9951713357890656,0.9947977042042466,0.9943416989102268,0.9939036511828242,8,13
0.0007492243574922812,0.9948684082977899,0.994458424043654,0.9939822807653231,0.9935008952848332,7,10
0.000859406598977389,0.9948684082977899,0.994458424043654,0.9939822807653231,0.9935008952848332,6,8
0.004216042122354886,0.9944382512601784,0.9940060504961973,0.9934679588438714,0.9929586820778531,4,5
0.4574733207809795,0.5718968107793718,0.5718849840255591,0.0,0.0,0,1
