comparison_id,semantic_class,external_dataset,feature,internal_rows,external_rows,internal_mean,internal_median,internal_p10,internal_p25,internal_p75,internal_p90,external_mean,external_median,external_p10,external_p25,external_p75,external_p90,ks_statistic,ks_p_value,mean_difference_external_minus_internal,median_difference_external_minus_internal,is_binary_feature,internal_proportion_1,external_proportion_1,absolute_percentage_point_difference_1
B_phiusiil_legitimate_vs_legitphish_legitimate,legitimate,LegitPhish,number_of_percent_symbols,134850,37540,0.0,0.0,0.0,0.0,0.0,0.0,0.0007192328183271178,0.0,0.0,0.0,0.0,0.0,0.0003462972828982558,1.0,0.0007192328183271178,0.0,False,,,
B_phiusiil_legitimate_vs_legitphish_legitimate,legitimate,LegitPhish,suspicious_keyword_count,134850,37540,0.0032332220986281053,0.0,0.0,0.0,0.0,0.0,0.002903569525839105,0.0,0.0,0.0,0.0,0.0,0.00031482127875859245,1.0,-0.0003296525727890004,0.0,False,,,
B_phiusiil_legitimate_vs_legitphish_legitimate,legitimate,LegitPhish,has_suspicious_keyword,134850,37540,0.003218390804597701,0.0,0.0,0.0,0.0,0.0,0.002903569525839105,0.0,0.0,0.0,0.0,0.0,0.00031482127875859245,1.0,-0.00031482127875859635,0.0,True,0.003218390804597701,0.002903569525839105,0.03148212787585963
B_phiusiil_legitimate_vs_legitphish_legitimate,legitimate,LegitPhish,uses_https_text,134850,37540,1.0,1.0,1.0,1.0,1.0,1.0,0.9998668087373468,1.0,1.0,1.0,1.0,1.0,0.00013319126265316994,1.0,-0.00013319126265320946,0.0,True,1.0,0.9998668087373468,0.013319126265320946
B_phiusiil_legitimate_vs_legitphish_legitimate,legitimate,LegitPhish,number_of_at_symbols,134850,37540,0.0,0.0,0.0,0.0,0.0,0.0,2.663825253063399e-05,0.0,0.0,0.0,0.0,0.0,2.66382525306863e-05,1.0,2.663825253063399e-05,0.0,False,,,
B_phiusiil_legitimate_vs_legitphish_legitimate,legitimate,LegitPhish,number_of_ampersands,134850,37540,0.0,0.0,0.0,0.0,0.0,0.0,2.663825253063399e-05,0.0,0.0,0.0,0.0,0.0,2.66382525306863e-05,1.0,2.663825253063399e-05,0.0,False,,,
B_phiusiil_legitimate_vs_legitphish_legitimate,legitimate,LegitPhish,known_shortener_domain,134850,37540,7.415647015202076e-06,0.0,0.0,0.0,0.0,0.0,2.663825253063399e-05,0.0,0.0,0.0,0.0,0.0,1.9222605515456515e-05,1.0,1.9222605515431913e-05,0.0,True,7.415647015202076e-06,2.663825253063399e-05,0.0019222605515431914
B_phiusiil_legitimate_vs_legitphish_legitimate,legitimate,LegitPhish,domain_is_ip,134850,37540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,0.0,0.0,0.0
B_phiusiil_legitimate_vs_legitphish_legitimate,legitimate,LegitPhish,has_port,134850,37540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,0.0,0.0,0.0
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,path_length,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,4.60489,1.0,0.0,1.0,1.0,13.0,0.88986,0.0,4.60489,1.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_slashes,134850,100000,2.0,2.0,2.0,2.0,2.0,2.0,3.14825,3.0,2.0,3.0,3.0,4.0,0.88986,0.0,1.14825,1.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,uses_https_text,134850,100000,1.0,1.0,1.0,1.0,1.0,1.0,0.35093,0.0,0.0,0.0,1.0,1.0,0.64907,0.0,-0.64907,-1.0,True,1.0,0.35093,64.90700000000001
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,special_character_count,134850,100000,5.244864664441972,5.0,5.0,5.0,5.0,6.0,6.67065,6.0,5.0,6.0,7.0,9.0,0.6187643121987394,0.0,1.4257853355580279,1.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,letter_ratio,134850,100000,0.799956840153667,0.8064516129032258,0.75,0.7727272727272727,0.8275862068965517,0.8461538461538461,0.7542854406847844,0.75,0.6875,0.7142857142857143,0.7931034482758621,0.8235294117647058,0.4203881868743048,0.0,-0.045671399468882545,-0.056451612903225756,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,domain_length,134850,100000,19.228609566184648,19.0,13.0,16.0,22.0,26.0,16.7556,16.0,11.0,13.0,20.0,24.0,0.24535968112717838,0.0,-2.473009566184647,-3.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_letters,134850,100000,21.93314794215795,22.0,16.0,18.0,25.0,28.0,22.25979,19.0,14.0,16.0,25.0,32.0,0.18971278828327776,0.0,0.32664205784204725,-3.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_subdomains,134850,100000,1.1616611049314052,1.0,1.0,1.0,1.0,2.0,1.09911,1.0,0.0,1.0,1.0,2.0,0.14102,0.0,-0.06255110493140514,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_dots,134850,100000,2.1616611049314054,2.0,2.0,2.0,2.0,3.0,2.18579,2.0,1.0,2.0,3.0,3.0,0.13719,0.0,0.024128895068594503,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,url_length,134850,100000,27.228609566184648,27.0,21.0,24.0,30.0,34.0,29.07606,26.0,20.0,22.0,32.0,40.0,0.12363265480163144,0.0,1.8474504338153501,-1.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_hyphens,134850,100000,0.0832035595105673,0.0,0.0,0.0,0.0,0.0,0.2428,0.0,0.0,0.0,0.0,1.0,0.07247892843900627,9.429231126234049e-263,0.1595964404894327,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,query_length,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.30924,0.0,0.0,0.0,0.0,0.0,0.020019999999999927,2.0130691033531867e-20,0.30924,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_question_marks,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.02002,0.0,0.0,0.0,0.0,0.0,0.020019999999999927,2.0130691033531867e-20,0.02002,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_query_parameters,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.02689,0.0,0.0,0.0,0.0,0.0,0.020019999999999927,2.0130691033531867e-20,0.02689,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_equal_signs,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.02711,0.0,0.0,0.0,0.0,0.0,0.019869999999999943,4.002921706218211e-20,0.02711,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_digits,134850,100000,0.050596959584723766,0.0,0.0,0.0,0.0,0.0,0.14562,0.0,0.0,0.0,0.0,0.0,0.01755029662588059,8.570447450609572e-16,0.09502304041527623,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,digit_ratio,134850,100000,0.0020295458741919348,0.0,0.0,0.0,0.0,0.0,0.0030612164826420997,0.0,0.0,0.0,0.0,0.0,0.01755029662588059,8.570447450609572e-16,0.001031670608450165,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_underscores,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.02622,0.0,0.0,0.0,0.0,0.0,0.01735999999999993,1.8383713549664987e-15,0.02622,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_ampersands,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.004709999999999881,0.15596984697765026,0.0079,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,suspicious_keyword_count,134850,100000,0.0032332220986281053,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0019283908045978349,0.9829395603506961,-0.0019332220986281053,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,has_suspicious_keyword,134850,100000,0.003218390804597701,0.0,0.0,0.0,0.0,0.0,0.00129,0.0,0.0,0.0,0.0,0.0,0.0019283908045978349,0.9829395603506961,-0.0019283908045977013,0.0,True,0.003218390804597701,0.00129,0.19283908045977013
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_percent_symbols,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0013899999999998913,0.999883545376503,0.0073,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,has_port,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.00026999999999988145,1.0,0.00027,0.0,True,0.0,0.00027,0.027
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,number_of_at_symbols,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,7.999999999996898e-05,1.0,8e-05,0.0,False,,,
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,domain_is_ip,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.0,0.0,0.0,0.0,0.0,5.999999999994898e-05,1.0,6e-05,0.0,True,0.0,6e-05,0.006
A_phiusiil_legitimate_vs_url_phish_benign,legitimate,URL-Phish,known_shortener_domain,134850,100000,7.415647015202076e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.415647015229787e-06,1.0,-7.415647015202076e-06,0.0,True,7.415647015202076e-06,0.0,0.0007415647015202076
