model,training_accuracy,validation_accuracy,final_test_accuracy,final_test_precision_phishing,final_test_recall_phishing,final_test_f1_phishing,final_test_roc_auc_phishing,tree_depth,leaves
baseline_unrestricted_decision_tree,0.9961891721597519,0.9953348977918516,0.9954481198756008,0.998469421707593,0.9908862765816933,0.9946633962013988,0.9967770141297935,25,388
optimized_decision_tree,0.9957771907716169,0.9956459046057282,0.9958722080859486,0.9993340436867342,0.9910183595297847,0.9951588301611513,0.9981121910132035,10,69
