comparison,feature,source_rows,external_rows,source_mean,source_median,source_std,source_p10,source_p25,source_p75,source_p90,external_mean,external_median,external_std,external_p10,external_p25,external_p75,external_p90,ks_statistic,ks_p_value,mean_difference_external_minus_source,median_difference_external_minus_source,is_binary_feature,source_proportion_1,external_proportion_1,absolute_percentage_point_difference_1
legitimate_vs_benign,has_suspicious_keyword,134850,100000,0.003218390804597701,0.0,0.056639708288810944,0.0,0.0,0.0,0.0,0.00129,0.0,0.03589357579690041,0.0,0.0,0.0,0.0,0.0019283908045978349,0.9829395603506961,-0.0019283908045977013,0.0,True,0.003218390804597701,0.00129,0.19283908045977013
legitimate_vs_benign,number_of_percent_symbols,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.34247318563477164,0.0,0.0,0.0,0.0,0.0013899999999998913,0.999883545376503,0.0073,0.0,False,,,
legitimate_vs_benign,has_port,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0,0.016429540446950823,0.0,0.0,0.0,0.0,0.00026999999999988145,1.0,0.00027,0.0,True,0.0,0.00027,0.027
legitimate_vs_benign,number_of_at_symbols,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.008943958851873116,0.0,0.0,0.0,0.0,7.999999999996898e-05,1.0,8e-05,0.0,False,,,
legitimate_vs_benign,domain_is_ip,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.0,0.007745773038890289,0.0,0.0,0.0,0.0,5.999999999994898e-05,1.0,6e-05,0.0,True,0.0,6e-05,0.006
legitimate_vs_benign,known_shortener_domain,134850,100000,7.415647015202076e-06,0.0,0.0027231685616579218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.415647015229787e-06,1.0,-7.415647015202076e-06,0.0,True,7.415647015202076e-06,0.0,0.0007415647015202076
phishing_vs_phishing,uses_https_text,100945,16600,0.48735449997523406,0.0,0.4998425415725354,0.0,0.0,1.0,1.0,0.9143373493975904,1.0,0.2798736849463983,1.0,1.0,1.0,1.0,0.4269828494223563,0.0,0.4269828494223563,1.0,True,0.48735449997523406,0.9143373493975904,42.69828494223563
phishing_vs_phishing,path_length,100945,16600,8.725256327703205,1.0,35.30801033454871,0.0,0.0,6.0,28.0,17.153373493975902,6.0,36.26225963240669,1.0,1.0,16.0,49.0,0.3212664119253775,0.0,8.428117166272697,5.0,False,,,
phishing_vs_phishing,number_of_slashes,100945,16600,3.019208479865273,3.0,1.4003095955682563,2.0,2.0,3.0,4.0,3.617289156626506,3.0,1.4684184235254885,3.0,3.0,4.0,6.0,0.3212565055407125,0.0,0.5980806767612328,0.0,False,,,
phishing_vs_phishing,number_of_subdomains,100945,16600,1.1566991926296497,1.0,0.7932672845478713,0.0,1.0,1.0,2.0,0.7419879518072289,1.0,0.5648463619344106,0.0,0.0,1.0,1.0,0.1840278196345737,0.0,-0.41471124082242083,0.0,False,,,
