mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.5256157716115315,0.06839243761561505,0.13399982452392578,0.011458381713212064,entropy,10,1,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9946061187506663,0.9950119372442019,0.9949260222572806,0.9948480260840497,0.0001746133150762633,1,0.9953530013642565,0.9951182075934256,0.995203990280087,0.9952250664125897,9.700577723759094e-05
1.4083503087361653,0.08220773798575642,0.13805611928304037,0.011688505291070723,entropy,10,1,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9945632475534614,0.9950329361103413,0.994947233770387,0.9948478058113964,0.00020423234217875846,2,0.9952993593911551,0.9950645446696016,0.9951826746813318,0.9951821929140295,9.586331394008672e-05
1.1639874776204426,0.05417394592709485,0.1543902556101481,0.012074595711146297,entropy,10,1,20,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.9945639429533778,0.9950112991941329,0.9948827292110874,0.9948193237861994,0.00018805511154013565,3,0.9952353035228908,0.9950104482067466,0.9951286069094901,0.9951247862130425,9.18365453422215e-05
1.8880066871643066,0.020009145559641353,0.21477087338765463,0.024921733573475744,entropy,12,1,10,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9945213072118357,0.9949703763692938,0.9949255895270991,0.9948057577027428,0.0002019662127542117,4,0.995385713829005,0.9951927689011586,0.9953000607475141,0.9952928478258926,7.893438614507768e-05
1.1073774496714275,0.04220566220676377,0.15570378303527832,0.0094119136393267,entropy,10,5,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.994435323966484,0.9950757817995779,0.9948842562987594,0.9947984540216072,0.00026841271960199636,5,0.9951927689011586,0.9950541485460902,0.9950654914791802,0.9951041363088097,6.284355099578217e-05
1.1765496730804443,0.039022509773292406,0.13609838485717773,0.022244143448087547,entropy,10,5,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.994435323966484,0.9950757817995779,0.9948842562987594,0.9947984540216072,0.00026841271960199636,5,0.9951927689011586,0.9950541485460902,0.9950654914791802,0.9951041363088097,6.284355099578217e-05
1.7974428335825603,0.05413015533260006,0.1453563372294108,0.022833237161408573,entropy,12,5,20,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.9944796129334783,0.9950112991941329,0.9948623931441728,0.9947844350905947,0.00022395038666407315,7,0.9952045013747096,0.995041956774393,0.9950012257122454,0.995082561287116,8.781341422840443e-05
1.783522129058838,0.012281151415625137,0.23773980140686035,0.01007592666716534,entropy,12,5,2,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.994414360636166,0.9951186238356106,0.9948201990919361,0.9947843945212376,0.000288626793610908,8,0.9952894534913462,0.9951178953651985,0.9951188319300863,0.9951753935955437,8.065343208781498e-05
1.8583711783091228,0.11486011548322612,0.2217411200205485,0.07090933898325531,entropy,12,5,10,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.994414360636166,0.9951186238356106,0.9948201990919361,0.9947843945212376,0.000288626793610908,8,0.9952894534913462,0.9951178953651985,0.9951188319300863,0.9951753935955437,8.065343208781498e-05
1.2127446333567302,0.007577740797273022,0.18224287033081055,0.06853129828050047,entropy,10,5,20,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.9945003410641201,0.9950112991941329,0.9948409652937665,0.9947842018506732,0.00021242429084327073,10,0.995160946493285,0.9950104482067466,0.9950012257122454,0.9950575401374255,7.32162068820474e-05
1.8023065725962322,0.026715287305522462,0.19884570439656576,0.010250984388125103,entropy,12,1,20,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.9945217743482617,0.9948840381991815,0.9949249402934153,0.9947769176136195,0.0001811846382768063,11,0.9952681388012619,0.9950849210495453,0.9951818530678378,0.995178304306215,7.484041429518466e-05
1.9636123975118,0.014576822247141113,0.21158393224080405,0.013520687781474227,entropy,12,1,2,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9944786714702936,0.9948846924421331,0.9948833837888543,0.994748915900427,0.00019109241596141326,12,0.9955455146102858,0.9953527041719074,0.9953640054992486,0.9954207414271473,8.83485160140071e-05
8.12502940495809,0.4497868016997544,1.1419951915740967,0.18501662538493485,gini,12,1,2,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9944327126127855,0.9949279686301253,0.9948844743797425,0.9947483852075512,0.00022391937204957826,13,0.9954371975011194,0.9953210764721556,0.9953320828715151,0.9953634522815967,5.233898011075166e-05
1.685238202412923,0.02492065443812318,0.20522530873616537,0.005677114022228533,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9943273905996759,0.9949056804859853,0.9949894458540329,0.9947408389798981,0.00029434541109867176,14,0.9952879469520906,0.994969304229195,0.9951282953297729,0.9951285155036862,0.00013008544005378128
1.7556866804758708,0.03934962927577736,0.3550681273142497,0.1275544017428851,gini,10,1,20,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.9942428248539383,0.9950132128548291,0.994947233770387,0.9947344238263848,0.0003486550082615381,15,0.9951391109689799,0.9947996589940324,0.9949484184499957,0.9949623961376695,0.0001389326998668944
1.6598680814107258,0.021181245086526045,0.21902958552042642,0.014351971289747325,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9943483546247521,0.9949271037599113,0.9948820744658166,0.9947191776168266,0.0002628550651594995,16,0.9952242879072147,0.9949267793575342,0.9950537267610439,0.9950682646752642,0.00012189161167657677
1.1772533257802327,0.05209814582163843,0.1129157543182373,0.0175421568395377,entropy,18,5,20,"{'criterion': 'entropy', 'max_depth': 18, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.9944796129334783,0.9948215237080448,0.9948411852483479,0.9947141072966237,0.0001660067243657643,17,0.9952045013747096,0.9950652811084466,0.9950122562080358,0.9950940128970639,8.107070077090094e-05
1.3678030967712402,0.09720623156612382,0.14689413706461588,0.008189412075971349,entropy,18,1,10,"{'criterion': 'entropy', 'max_depth': 18, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9945015131494821,0.9948444823178526,0.9947353837628152,0.9946937930767167,0.0001430717803314199,18,0.9954613253782228,0.9953005615882183,0.9953543877594511,0.9953720915752974,6.681475817908827e-05
1.2416356404622395,0.01669389844107184,0.12588008244832358,0.008338800880907837,entropy,18,5,10,"{'criterion': 'entropy', 'max_depth': 18, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.9943298090040927,0.9949286170892819,0.9948204199083449,0.9946929486672399,0.00026055001913085626,19,0.9953219739351896,0.9951622871512904,0.9951194561070736,0.9952012390645179,8.71447314692223e-05
1.2491576671600342,0.01639786691971292,0.14027976989746094,0.023070223184361888,entropy,18,5,2,"{'criterion': 'entropy', 'max_depth': 18, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.9943298090040927,0.9949286170892819,0.9948204199083449,0.9946929486672399,0.00026055001913085626,19,0.9953219739351896,0.9951622871512904,0.9951194561070736,0.9952012390645179,8.71447314692223e-05
8.512789090474447,0.14424219654461334,1.0442078113555908,0.03792744935910826,gini,12,1,10,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9943485956793414,0.9949493873201918,0.9947773443328857,0.9946917757774729,0.00025262506102322437,21,0.9953309881675727,0.9951512697279383,0.995225611185711,0.9952359563604073,7.373351280468474e-05
8.809720516204834,0.3527524430152673,0.9689844449361166,0.05343696804220958,gini,12,1,20,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.9942428248539383,0.9949500330272102,0.9948637070821168,0.9946855216544218,0.0003150115183796439,22,0.9951926664179502,0.9949596666773227,0.9950563617379445,0.9950695649444058,9.557880964163188e-05
2.9047458171844482,0.38866519402111527,0.7432307402292887,0.02420684619938598,entropy,8,1,20,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.9944560535630518,0.9949260222572806,0.99465263427001,0.9946782366967808,0.00019271612383881792,23,0.9949576248600821,0.9947447527475456,0.9946105998636674,0.9947709924904317,0.00014288218949937446
1.7283381621042888,0.2416965234029575,0.5051891009012858,0.15173829996939825,entropy,8,1,10,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9944560535630518,0.9949260222572806,0.99465263427001,0.9946782366967808,0.00019271612383881792,23,0.9949576248600821,0.9947447527475456,0.9946105998636674,0.9947709924904317,0.00014288218949937446
1.509610652923584,0.08961770654611119,0.22496716181437174,0.015711759214054703,entropy,8,1,2,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9944560535630518,0.9949260222572806,0.99465263427001,0.9946782366967808,0.00019271612383881792,23,0.9949576248600821,0.9947447527475456,0.9946105998636674,0.9947709924904317,0.00014288218949937446
4.343607981999715,0.3665615086466196,0.6212395032246908,0.04422138267886955,entropy,8,5,2,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.9944560535630518,0.9949260222572806,0.9946312156461715,0.9946710971555013,0.00019392531978159274,26,0.9949469105795062,0.9947447527475456,0.9945677644753099,0.9947531426007873,0.0001548993959744479
5.515240907669067,0.10804852776704021,0.5765985647837321,0.20547080235263454,entropy,8,5,20,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.9944560535630518,0.9949260222572806,0.9946312156461715,0.9946710971555013,0.00019392531978159274,26,0.9949469105795062,0.9947447527475456,0.9945677644753099,0.9947531426007873,0.0001548993959744479
5.425589481989543,0.27696079962460857,0.7633344332377116,0.0658957335781457,entropy,8,5,10,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.9944560535630518,0.9949260222572806,0.9946312156461715,0.9946710971555013,0.00019392531978159274,26,0.9949469105795062,0.9947447527475456,0.9945677644753099,0.9947531426007873,0.0001548993959744479
1.3295194307963054,0.06261944645990968,0.141528050104777,0.01790092139920972,entropy,18,1,20,"{'criterion': 'entropy', 'max_depth': 18, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.9944588892204084,0.9947793475249845,0.9947338123360979,0.9946573496938304,0.00014155866390503998,29,0.9953329781566329,0.9951395254641966,0.9952254076521369,0.9952326370909889,7.914200166915206e-05
